1,3,4,6,10 	4
1,4,9 	1
1,3,4,6,8,9 	2
1,4,8 	2
1,2,3,4,9,10 	104
1,2,9,10 	1701
1,2,3,4,5,6,7,8,9,10 	310
7,9 	8
1,3,6,8 	24
1,4,6 	2
1,2,3,4,8,9 	8
1,3,6,9 	14
8,10 	15311
1,2,3,4,5,9,10 	93
1,2,4,5,6,7,10 	157
1,2,3,4,6,7,8,10 	226
1,2,4,5,7,8 	2
1,2,4,6,7,10 	102
1,2,5,6,10 	5141
1,2,4,5,6,7,8,9,10 	63
1,2,3,5,6,9,10 	134
1,2,4,9,10 	105
2,3,4,5,8,10 	1
10 	1304930
1,6,8,9 	16
1,3,4,6,9 	2
1,3,4,6,8 	8
1,2,4,5,9,10 	56
1,2,3,7,8 	1
1,2,3,5,6,8,9,10 	13
1,2,3,6,7,8,9,10 	4
1,2,4,10 	18964
3,10 	9
1 	250267
1,3,6,10 	18
2 	1317890
3 	5824314
1,2,3,4,5,7,8 	9
4 	1683074
1,2,3,5,6,8 	50
5 	11
1,2,3,5,6,7 	1
1,2,3,5,7,10 	5857
6 	809
7 	5836
1,2,3,5,6,9 	7
8 	97421
9 	54024
1,2,4,5,6,8,9,10 	37
1,2,6,8,9 	6
1,5,9 	85
1,5,8 	285
1,3,5,6 	56
6,8 	8
1,5,6 	1268
6,9 	8
1,3,5,6,8,10 	1
1,2,3,5,10 	26443
1,2,3,7,8,9,10 	5
1,6,8,9,10 	1
1,2,6,7,9,10 	25
1,2,8,9,10 	7
2,3,7 	31705
1,2,3,4,5,7,8,9,10 	203
1,2,5,6,9,10 	451
2,3,4 	28911
1,2,3,5,6,10 	1195
1,2,10 	2778666
1,2,4,5,7 	9
1,2,4,5,6 	24
1,6,9,10 	13
1,2,4,5,9 	1
1,3,4,5,6,8,9 	1
1,2,4,5,8 	2
1,3,4,5,6,10 	7
1,3,4,5,6 	22
1,2,7,8,9,10 	1
1,3,4,5,8 	1
1,2,5,6,7,9 	1
1,6,7,9 	1
1,2,3,6,9 	17
9,10 	1063
1,2,4,5,6,8,10 	22
1,2,3,6,8 	86
1,3,5,6,8,9 	3
1,2,3,4,5,6,7,9,10 	323
1,2,3,6,7 	3
1,2,3,4,5,6,8 	105
1,2,4,6,7,8,10 	17
1,2,3,4,5,6,7 	1
1,2,3,4,5,6,8,10 	224
1,2,3,4,5,6,9 	13
1,4,6,9,10 	1
1,3,4,5,6,8,10 	2
1,2,3,6,7,9,10 	25
1,2,3,8,9,10 	6
1,2,3,4,5,8,9,10 	17
5,6 	9046
1,2,3,4,6,7 	23
1,3,4,6 	55
1,6,8 	131
1,3,4,7 	2
1,2,4,5,6,7,8,10 	25
1,2,3,4,5,10 	7584
1,2,3,4,6,9 	23
1,3,4,8 	3
1,2,3,4,6,8 	183
1,2,4,5,8,10 	388
1,3,4,9 	1
1,3,6,8,9,10 	1
1,4,8,10 	1
1,8,10 	250
1,2,3,4,5,6,7,8,10 	463
1,6,9 	266
2,4,7 	23035
1,2,5,6,8,9,10 	62
2,3,5,10 	2
2,8,10 	4
1,2,3,6,7,8,10 	8
