1,2,5,7,8,9,10,12,13,15,16,17,19,21 	1
1,2,5,6,8,10,13,15,17,18,19,21 	2
1,2,4,5,9,21 	1
1,2,5,6,9,13,15,17,18,19,20 	1
1,2,3,5,8,10,13,17,18 	1
1,2,5,6,9,13,15,17,18,19,21 	43
2,13,18,19 	165
2,7,8,11,13,17 	24
1,2,6,9,13 	1
2,5,7,8,9,10,13,14,17,19,21 	1
2,4,5,9,13,15,18,19 	1
1,2,6,9,17 	2
4,14,18,19 	1
2,7,8,11,13,20 	1
1,2,4,5,8,17,19,21 	1
2,3,4,5,7,9,10,13,15,17,18,21 	1
7,10,15,18 	1
2,3,5,11,13,15,16,17,18,19 	8
5,13,15,16,19,20 	1
1,2,5,6,9,13,15,17,18,20,21 	13
2,5,8,10,11,13,14,17,19,20 	7
1,5,13,17,19,20,21 	18
1,2,4,5,10,13 	1
2,7,9,10,13,16,17,19 	2
2,4,5,15,16,17,19 	6
2,7,9,10,13,16,17,18 	1
2,5,9,10,16,17,19 	5
3,14,17 	1
2,4,6,9,13,17 	1
1,2,4,5,9,17 	5
2,4,5,13,15,17,18 	30
2,4,5,13,15,17,19 	1129
1 	2611
2 	1052925
3 	37483
4 	22123
5 	342266
2,4,5,13,15,17,20 	17
2,4,5,6,8,9,11,13,17,19,20 	1
6 	18708
2,4,5,13,15,17,21 	328
1,2,3,5,9,13,17 	2
2,4,5,6,8,9,11,13,17,19,21 	1
7 	8570
8 	14129
9 	104710
2,4,5,15,16,17,21 	1
2,4,5,15,16,17,20 	1
2,4,5,9,10,16,19 	1
1,2,4,5,6,8,9,10,11,13,15,17,19,21 	3
1,2,4,5,6,8,9,10,11,13,15,17,19,20 	1
2,4,15,17,18 	7
2,3,9,10,13,17 	1
2,4,5,7,10,13,15,16,17,19,21 	15
1,2,4,5,6,8,9,10,11,13,17,18,19,21 	1
2,4,15,17,19 	53
1,2,4,5,9,10,13,15,16,17,18,19,20,21 	1
1,2,4,5,6,8,9,13,17,18,19 	2
2,5,8,9,11,13,15,17,18,19 	1
2,3,5,15,17,19,20,21 	5
1,2,4,5,7,10,13,16,17,18,19,21 	2
1,2,7,9,18,19,21 	1
2,4,6,8,11,13,17,20,21 	1
2,6,13,17,18,19 	1
4,5,8,11,16,17,19 	1
1,2,4,5,6,8,9,13,17,18,21 	1
12,18,21 	1
1,2,3,5,8,10,13,17,21 	1
12,18,19 	4
1,2,4,5,7,9,13,14,15,17,19 	1
2,6,13,17,18,20 	3
1,2,10,13,18,21 	1
1,2,5,9,10,11,13,15,16,17,18,19,20,21 	3
1,2,3,4,5,6,7,8,9,10,11,13,17,18,19,20,21 	1
2,6,13,17,18,21 	3
2,4,15,17,20 	1
2,4,15,17,21 	84
3,5,13,15,16,17,18,19 	7
1,2,4,5,10,13,15,17 	2
1,2,5,10,13,15,17,18,20,21 	1
2,4,5,8,10,12,13,15,17,19,20,21 	1
2,5,6,9,10,11,13,16,17,18,19,20,21 	1
2,4,5,8,13,15,17,18,19,21 	324
2,4,5,8,13,15,17,18,19,20 	22
2,5,6,7,9,13,16,17,19,21 	2
2,5,7,9,10,19,21 	1
4,5,9,13,17,19,21 	13
13,17,19,20,21 	1
1,2,5,10,11,13,17,19 	3
4,5,9,13,17,19,20 	1
3,5,13,15,16,17,18,20 	1
2,9,19,21 	43
5,9,10,13,16,18 	1
2,7,9,10,13,15,17,18,19,21 	7
2,9,19,20 	56
2,3,5,8,11,13,15,17,19,20,21 	21
2,3,5,11,13,15,19 	10
1,2,4,5,6,7,9,10,11,13,15,16,17,18,19,20,21 	1
2,3,5,11,13,15,17 	115
1,2,5,10,13,17,18,19,21 	22
1,2,5,10,13,17,18,19,20 	1
2,4,5,8,9,13,14,17,19,21 	14
1,2,5,8,13,14,15,17,19,20 	1
1,2,4,5,7,10,13,17,19,21 	25
1,2,4,5,7,10,13,17,19,20 	1
1,2,3,5,9,13,15,17,19,20,21 	4
1,2,5,8,9,10,11,13,14,15,17,18,19,20,21 	2
1,2,4,7,9,10,13,15,17,18,19 	1
2,4,5,8,9,13,14,17,19,20 	3
1,2,5,10,11,13,17,21 	2
1,2,5,10,11,13,17,20 	1
2,4,5,9,11,13,15,17,18,19,21 	1
2,7,9,15,17,19,20 	1
2,4,5,6,8,9,10,11,13,14,15,17,18,19,20,21 	1
2,5,6,13,15,17,19,20 	1
1,2,5,8,10,13,15,17,18,19 	3
2,5,6,13,15,17,19,21 	3
1,2,5,6,9,13,17,21 	347
1,2,5,6,9,13,17,20 	48
1,2,4,6,8,12,13,14,17,18,20 	9
2,4,17,18,19 	7
2,5,9,10,16,17,21 	1
2,4,5,7,9,10,11,13,15,16,17,18,19,20,21 	1
5,7,8,13,15,17,19,21 	1
1,2,3,5,8,9,13,15,17,18,19,20,21 	2
1,2,5,6,9,13,17,19 	31
2,6,9,13,15,17,19 	1
1,2,5,10,13,15,17,18,19,21 	42
1,2,5,7,9,13,16,17,18,19,21 	5
1,2,5,6,9,13,17,18 	59
2,5,6,8,15,17 	5
1,2,5,8,9,10,11,13,16,17,18,19,21 	1
2,5,8,13,17,19,20,21 	996
1,2,5,8,10,13,15,17,18,21 	4
2,5,6,13,15,17,20,21 	1
1,2,5,6,7,9,10,13,15,16,17,19,21 	1
1,2,4,5,8,15,17 	2
2,4,5,8,13,15,17,18,20,21 	14
1,2,5,8,11,13,14,17,19,20,21 	2
4,14,18,20 	1
6,13,17,18 	12
3,4,13,15 	2
3,4,13,17 	9
2,5,8,12,13,17,18,19,20,21 	2
2,4,5,13,17,18,21 	68
2,4,5,13,17,18,20 	3
3,4,5,11,15,17 	2
4,12,17,20 	4
2,5,9,10,18,19 	5
3,4,5,11,15,19 	1
2,4,5,10,17,19,21 	7
2,4,5,6,9,13,16,17,18,19,21 	4
2,4,5,10,17,19,20 	4
2,4,5,6,9,13,16,17,18,19,20 	1
1,2,3,5,7,9,10,13,15,16,17,19,21 	2
2,4,5,13,17,18,19 	68
3,5,11,17,20 	2
3,5,11,17,19 	32
1,2,4,5,6,9,11,13,15,17,18,21 	1
2,4,6,8,10,13,17,20 	1
2,5,7,8,9,11,13,15,17,18,19,20 	1
6,13,17,20 	1
2,3,4,5,7,13,15,16,17 	1
4,5,7,13,16,17 	1
2,4,5,14,15,17,19,21 	1
2,4,17,18,20 	14
2,5,8,9,10,13,16,17,18,21 	4
2,4,17,18,21 	4
2,3,5,17,18,20 	2
2,3,5,17,18,21 	1
4,12,17,18 	11
4,12,17,19 	344
1,2,4,5,13,14,15,16,17 	1
1,13,20 	2
1,13,21 	159
2,3,5,17,18,19 	53
1,13,15 	11
1,13,16 	1
1,13,17 	186
1,13,18 	9
1,13,19 	3
2,9,10,13,21 	214
2,5,11,13,15,17,18,19,20 	11
4,5,7,8,9,13,17 	1
2,5,11,13,15,17,18,19,21 	1
2,4,5,8,9,13,15,16,17,18,19,21 	2
1,2,5,7,8,9,10,11,12,13,15,16,17,19,20,21 	1
1,2,5,9,13,16,17,18,19 	4
2,5,9,13,15,17,18,20,21 	10
2,4,5,7,9,10,11,13,16,17,18,19 	1
2,3,5,9,13,17,18,19 	7
2,3,5,8,10,13,15,17,18,19,20,21 	3
1,2,5,16,17,20 	1
1,2,5,16,17,21 	2
1,2,5,9,13,16,17,18,21 	3
2,5,8,9,10,13,16,17,18,19 	1
5,7,9,10,17,21 	1
2,3,7,10,17 	1
2,15,16,19,21 	1
1,2,5,7,8,9,10,13,16,17,18,19,21 	2
2,3,5,8,9,10,17,18,19,21 	1
2,4,5,6,9,13,16,17,18,20,21 	1
2,4,5,10,13,14,15,16,17,18,19,21 	1
1,2,4,5,7,9,13,17,18,19 	1
1,2,5,16,17,18 	2
1,2,5,16,17,19 	3
4,8,12,17 	532
2,4,7,8,12,13,18,20 	1
1,2,4,5,7,9,13,17,18,21 	1
4,8,12,13 	9
1,2,5,8,13,17,19,20,21 	51
2,13,15,19,20 	5
2,13,15,19,21 	30
1,2,5,6,8,9,17,19 	1
5,8,9,19 	8
5,8,9,17 	3433
5,8,9,18 	1
1,2,7,10,13,17,18,19 	8
5,8,9,15 	2
2,4,5,9,10,13,15,16,17,19 	3
5,8,9,16 	2
5,8,9,13 	4
2,4,6,8,11,12,13,17,20 	93
5,7,9,17,18 	3
5,7,9,17,19 	12
2,4,9,10,11,13,17 	1
2,4,5,8,11,13,17,18,19,20,21 	44
2,3,5,7,13,15,16,17,18,19,20 	2
2,5,6,9,13,18,21 	3
1,2,7,8,13,17 	2
5,8,9,21 	6
1,2,5,7,8,17 	1
2,4,7,9,10,13,17,19,21 	10
1,2,5,10,13,15,17,19,21 	78
5,7,9,17,21 	3
3,5,11,17,18,19 	1
2,5,7,8,10,13,14,17,19,20 	1
2,5,7,8,10,13,14,17,19,21 	5
2,4,7,9,10,13,17,19,20 	1
1,2,5,10,13,15,17,19,20 	2
2,3,5,9,13,17,18,21 	1
1,2,5,9,12,13,15,17,19,21 	1
2,4,6,8,11,12,13,17,18 	86
2,4,6,8,11,12,13,17,19 	1
1,2,4,5,6,8,9,13,16,17,19,21 	1
1,2,5,7,13,15,16,17,19,21 	4
1,2,5,6,13,17,18,19,21 	2
1,4,5,7,13,19 	1
2,4,5,8,9,10,13,16,17 	1
1,2,5,10,15,17,18,19 	2
2,5,6,7,9,13,17,19,21 	12
