2,4,15 	289
3,4,5,9,10,15 	1
8,17 	2184
2,4,16 	2
2,4,13 	15
8,15 	87
2,4,14 	17
8,16 	5131
2,4,11 	383
1,4,6,12,19 	3
2,4,12 	167
8,19 	704
2,3,4,8,9,10,12,14,15 	2
2,4,10 	3
6,17,19 	1
8,10 	6
2,4,19 	22
8,14 	1
2,4,17 	1
8,11 	152
2,3,8,9,10,12,15 	7
2,4,18 	1
8,12 	90
7,10,15,16 	4
4,6,8,11,16,17,19 	1
4,11,15,19 	5
2,4,20 	6
3,4,5,6,9,15,19 	1
8,20 	1
6,12,15,19 	8
4,5,6,11,15 	146
4,5,6,11,14 	1
4,5,6,11,19 	215
1 	1358245
2 	24210
2,4,7,11,15 	1
3 	1977
4 	3693040
5 	1286241
6 	18216956
7 	27360
8 	272776
2,3,6,8,10,15,17,19 	1
9 	738
3,4,8,9,10,15 	1
1,2,5,11,15 	1
6,7 	5191
6,8 	1395
6,9 	180
1,7,8,15 	4
3,4,6,11,12,15,19 	1
2,3,4,5,8,9,10,12,14,15 	2
1,2,10 	3
1,2,11 	15
1,2,12 	3
2,3,6,15,19 	3
1,2,13 	4
1,2,15 	100
1,2,16 	936
6,8,9,10,15,17,19 	1
2,3,5,8,9,12,15 	9
1,2,19 	158
3,5,6,8,9,10,12,15,17 	1
15,17 	44
15,16 	111
6,8,16,17,19 	1
2,3,4,5,6,8,11,19 	1
15,19 	3431
2,4,5,6,8,10,12,15 	1
1,4,6,8,11,17,19 	1
2,5,10,11 	1
2,3,4,5,8,9,12,15 	7
1,2,8,11,12,19 	9
11,16,19 	18
11,16,17 	1
2,3,4,5,8,9,12,14,15 	1
2,6,7,17,18 	1
1,4,5,6,11,15,19 	14
3,4,5,6,11 	58
3,4,6,8,9,10,11,12,15,17,19 	1
2,3,8,9,15 	12
3,6,10 	1
3,6,11 	2
4,8,11,16,17 	5
2,5,10,15 	31
3,6,19 	8
3,6,12 	1
3,6,15 	52
1,2,4,6,12,19 	1
4,7,14,18,20 	2
1,6,8,15,19 	8
7,13,18,20 	31
4,6,7,18,20 	1
2,5,6,10,12,15 	2
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20 	1
2,3,6,19 	2
3,4,5,6,15 	12
3,4,5,6,19 	1
2,5,6,8,15,19 	9
1,2,5,7,15 	4
2,5,6,9,10,12,15,17,19 	2
2,3,5,6,12,14 	1
2,3,6,12 	1
2,3,6,15 	6
1,2,10,15,16 	12
2,6,8,9,10,15,17,19 	1
2,5,6,10,15 	21
4,6,15,16,19 	1
1,6,15,19 	95
4,5,6,8,11 	37
4,5,6,8,15 	11
1,4,5,6,8,19 	4
3,4,5,6,9,15 	6
4,5,6,8,19 	2
4,7,13,20 	4
4,5,7,13,20 	1
4,7,13,14 	2
4,7,13,15 	1
2,3 	83
2,4,6,9,12,15,17,19 	1
4,5,6,11,14,19 	1
2,4 	37189
2,5 	3718
7,8,15,16,17,19 	1
2,3,4,8,9,15 	3
2,6 	8584
2,5,6,7,13,20 	1
2,7 	131
2,8 	1565
2,9 	10
3,5,9,15 	18
1,13,15 	2
1,7,8,15,16,17 	3
2,12,15 	3
1,2,4,6,8,16,17 	16
1,2,5,15,19 	1
2,4,5,10,15 	9
1,13,19 	1
3,5,6,8,10,15,19 	1
1,2,4,6,8,16,19 	4
2,12,19 	1
2,3,4,5,9,10,12,14,15 	1
2,3,5,6,8,10,15,17 	1
7,13,14,20 	56
1,4,6,7,11,13,19 	2
4,7,8,15 	1
4,5,6,8,9,10,11,12,15,17,19 	1
1,14 	2
5,6,12,19 	1
1,15 	225
1,12 	7
1,13 	5
1,10 	585
5,6,12,15 	7
1,11 	1490
5,11,14 	1
5,11,15 	6
5,11,19 	2
1,2,4,6,7,8,16,17 	3
1,4,6,11,12,19 	1
7,13,14,18 	8
2,5,6,14,15 	4
2,3,6,9,12,15,17 	1
2,4,8,17 	1
2,4,8,16 	1
2,4,8,15 	4
2,4,8,14 	1
2,4,8,12 	41
2,4,8,11 	39
1,2,7,8,10,15,16 	4
1,19 	1255245
1,16 	83327
1,17 	3
4,5,6,9,11,12,15,17,19 	1
4,5,6,15,19 	16
6,10,19 	2
1,2,6,7,13,19 	1
4,6,11,12 	203
2,3,4,6,11,12,15,19 	1
2,4,5,8,10,15 	6
6,10,11 	8
3,6,9,15,19 	2
2,4,6,8,11,12 	1
2,4,6,8,11,17 	11
2,4,6,8,11,15 	10
4,6,11,14 	1
4,6,11,13 	4
2,4,6,8,11,19 	4
4,6,11,16 	121
4,6,11,15 	92
4,6,11,17 	17
4,8,11 	183
4,6,11,19 	1573
4,8,12 	39
4,8,17 	265
2,3,4,6,8,11,19 	1
1,6,10 	405
2,4,8,11,15,17 	2
4,8,15 	100
1,6,11 	438
3,4,5,6,8,9,11,12,15,17,19 	1
4,8,16 	9
1,6,16 	3787
1,6,17 	1
2,3,4,6,8,11,15 	1
2,3,6,12,15,19 	1
4,6,9,15,19 	1
4,8,19 	2919
1,2,4,5,15 	23
1,6,15 	1
1,6,19 	1566
5,6,8,9,15,17,19 	3
4,5,8,15 	2
4,5,8,11 	1
2,3,4,6,9,15,17,19 	1
2,3,5,8,9,12,14,15 	1
1,7,10,15,16 	12
4,5,6 	413235
4,5,8 	2
4,5,7 	2
3,4,6,8,9,12,15,17,19 	1
1,4,6,8,16,17,19 	1
1,4,11,15,19 	2
6,8,12,15,19 	1
1,6,11,16,19 	6
2,4,6,7,11 	12
1,5,7,15 	3
2,4,6,7,10 	1
2,4,6,7,13 	2
1,2,7,15,16 	192
2,3,9,15 	9
1,2,4,6,7,10 	20
1,8,16,17 	44
6,8,11,17 	3
1,2,4,6,7,16 	81
1,2,4,11,17,19 	1
5,7,20 	18
1,2,4,6,7,11 	1
5,7,18 	9
5,7,15 	11
2,4,12,15 	1
1,8,16,19 	1
2,4,6,7,20 	1
2,4,6,7,19 	7
4,13,20 	2
2,4,6,7,15 	20
2,4,6,7,17 	1
3,6,9,15,17,19 	1
2,4,6,7,16 	47
3,5,6,12,15,19 	2
5,7,13 	318
5,7,14 	2
1,4,7,8,15,16,17 	1
2,4,6,8,15,16 	2
2,6,9,12,15,19 	1
2,4,6,8,15,17 	2
1,2,4,6,11,15,19 	4
2,3,6,9,12,15,17,19 	1
2,4,5,6,9,11,15,17,19 	1
3,5,9,14,15 	4
2,3,4,5,6,8,9,11,12,15,17,19 	1
2,15,16 	24
2,3,5,6,8,9,10,15 	1
2,15,19 	5
6,11,16,19 	12
1,7,11,13,15 	1
1,10,16 	252
2,3,4,5,6,8,9,15,19 	2
1,10,15 	1
4,6,8,17,19 	11
1,6,8 	44
1,6,7 	2078
8,11,12 	35
8,11,17 	6
8,11,16 	1
6,13,15 	7
6,13,19 	5
2,4,7 	43
2,4,6 	12347
3,4,6,9,12,15,19 	1
2,4,8 	1563
2,4,5 	437
1,7,13,15 	12
1,4,6,8,16,17 	18
2,3,4,6,8,9,10,11,15,17,19 	1
1,4,6,8,16,19 	10
2,8,10,16 	1
2,8,10,15 	3
2,3,5,6,8,9,10,15,17,19 	1
1,2,4,5,6,11,15,19 	16
1,4,6,7,11,16 	1
1,4,6,7,11,19 	2
1,4,6,7,17 	4
1,2,4,8,19 	11
1,4,6,7,19 	6
1,4,6,7,15 	1
1,4,6,7,16 	315
1,4,5,6,15,19 	15
2,4,6,9,11,15,17,19 	1
2,4,6,13,15 	3
2,6,9,19 	1
3,4,5,6,15,19 	5
4,13,15 	2
2,3,4,6,15,19 	2
4,13,14 	1
4,13,19 	3
4,13,18 	3
1,4,6,7,8,15,19 	1
2,3,5,9,10,11,15 	1
2,4,5,6,11,12,19 	1
5,12 	2
5,13 	258
5,14 	22
5,15 	11888
5,16 	3
1,2,4,6,7,19 	6
5,18 	4
5,19 	27
2,3,9,10,15 	3
2,7,8,10,15,16 	1
2,4,11,15,19 	1
5,10 	122
5,11 	13709
2,3,4,5,8,9,15 	1
4,6,7,8 	23
2,4,6,13,20 	1
1,4,8,17,19 	19
2,4,5,6,9,15,17,19 	1
5,6,8,15 	4
8,11,19 	9
5,8,10,15 	1
5,9,15,19 	1
1,10,15,16 	4
5,20 	25
2,3,4,5,6,8 	3
4,6,8,11,16,17 	2
1,2,4,6,13,15,19 	1
4,6,8,11,16,19 	10
4,6,7,8,16,17 	2
2,3,4,5,9,15,19 	1
2,7,13 	17
3,5,6,8,9,10,12,15,17,19 	1
2,7,15 	356
1,2,4,5,6,19 	11
1,4,11,19 	100
1,4,6,7,10 	9
1,4,6,7,11 	4
1,2,8,11,19 	3
1,4,6,15 	5
2,4,5,6,12 	1
2,4,5,6,13 	5
1,4,6,17 	14
2,4,5,6,14 	1
1,4,6,16 	20398
2,4,5,6,15 	226
1,4,6,11 	100
1,4,6,10 	187
2,4,5,6,19 	69
1,2,7,8,15,16,17 	7
4,17,18 	1
1,4,11,16 	1
3,4,5,6,11,19 	1
4,6,9,19 	1
4,17,19 	21
2,4,9,15,17,19 	1
2,3,4,6,11,15 	2
1,4,6,19 	1458
1,2,4,6,16,19 	1
4,6,9,15 	7
2,3,4,6,7 	1
2,3,4,6,8 	3
6,13,20 	4
1,2,6,8,16,17 	3
1,8,10,15,16 	3
4,5,6,8,11,19 	1
4,5,6,8,11,15 	7
11,13,19 	1
2,3,4,5,6,12,15,19 	1
2,3,6,8,9,10,12,15,17 	1
2,5,6,8,9,10,15,17,19 	2
2,3,5,9,12,15 	6
2,4,5,6,10 	9
2,4,5,6,11 	606
2,4,5,6,9,15,19 	1
3,5,6,8,9,15 	1
1,2,8 	39
3,5,6,14,15,19 	1
1,2,6 	1122
1,2,5 	7
1,2,5,15 	9
12,15,19 	13
1,2,5,19 	1
2,6,12,15 	1
2,6,12,14 	2
2,5,6,11 	3
4,6,7,10,16 	1
2,5,6,10 	1
2,5,6,15 	150
2,5,6,14 	17
2,5,6,12 	10
2,5,6,19 	5
7,15,16 	221
2,3,4,6,9,11,12,15,17 	1
1,2,4,8,11,16,19 	1
1,2,4,6,7,8 	66
1,17,19 	1
2,5,10,14,15 	1
3,4,6,9,14,15 	1
2,4,5,6,8,19 	2
2,3,4,5,6,11,17,19 	1
2,4,5,6,8,11 	20
2,4,5,6,8,10 	2
2,4,5,6,8,15 	23
1,2,13,15 	1
3,5,15,19 	2
2,3,4,5,6,8,15 	1
2,5,6,8,9,10,11,15,17,19 	1
11,12 	2952
1,4,6,11,16,19 	10
11,13 	2
2,4,5,6 	2139
5,15,19 	2
1,4,6,15,16 	1
1,4,6,15,17 	1
1,4,6,15,19 	55
1,2,4 	38
11,16 	542
1,2,3 	3
11,15 	152
4,8,16,17 	5
11,17 	3
1,6,11,16 	10
11,19 	84113
1,6,11,19 	143
8,15,19 	11
7,8 	38
7,9 	2
8,15,16 	28
8,15,17 	9
2,4,5,6,8,11,15,19 	3
7,8,15 	5
2,3,4,5,6,8,9,10,15 	1
2,3,6,8,9,10,12,15,17,19 	3
2,3,4,5,6,9,11,15,17,19 	4
1,6,12,19 	1
1,16,17 	5
2,4,7,14 	2
2,4,7,15 	3
1,16,19 	7335
2,4,7,13 	3
2,4,7,11 	2
1,4,6,7,15,19 	6
4,6,7 	1650
4,6,9 	213
4,6,8 	14057
2,4,6,7,15,16 	2
2,4,6,7,15,19 	10
1,2,16,19 	1
4,11,16,17 	1
4,6,8,12,19 	1
2,5,6,8,9,10,12,15,17,19 	2
1,8,11,19 	2
2,4,6,17,19 	1
1,4,11,16,17 	1
1,4,11,16,19 	1
4,6,8,12,15 	1
2,4,5,6,8,10,11,15 	9
9,18 	1
9,19 	8
1,2,4,11,12,19 	4
6,16,17 	3
6,16,19 	114
9,10 	63
9,11 	2
2,4,5,6,8,9,15,17 	1
9,15 	25
9,12 	1
2,4,5,6,8,9,15,19 	1
6,7,11,19 	1
2,3,5,6,8,10,12,15 	1
2,3,4,5,8,9,10,14,15 	1
3,5,6,15,19 	11
7,15,16,17 	1
2,3,5,8,9,15 	15
3,4,5,6,8,9,10,11,12,15,17,19 	1
1,4,8,16 	1
1,4,8,19 	566
2,6,10,12,15,19 	1
2,5,8,10,15 	25
2,4,5,6,11,17,19 	1
9,20 	1
2,3,4,6,8,9,15,19 	1
2,5,6,9,12,15,17,19 	1
2,3,12,15 	1
1,2,4,6,8 	223
1,2,4,6,7 	213
2,3,14 	6
2,3,15 	8
2,3,11 	1
1,4,6,13,19 	6
3,5,8,15 	1
1,2,4,5,6,15,19 	24
2,6,15,19 	13
1,7,15,16,19 	1
1,4,15,19 	60
3,6,12,15,19 	1
4,7,14,18 	1
3,5,8,9,10,12,15 	1
4,5,6,11,15,19 	10
2,3,5,8,9,10,12,15 	10
2,3,9,10,12,15 	2
2,5,11,15 	1
3,4,5,6,10,11 	2
7,13,14,18,20 	49
3,4 	14920
3,5 	5689
3,6 	2931
3,7 	1
3,8 	1
4,5,10,15 	2
3,6,11,19 	1
4,5,7,13 	7
1,4,7,8,15,16 	1
2,5,6,7,13 	2
4,5,6,14,19 	1
1,6,7,11 	4
1,6,7,10 	25
2,3,4,5,6,7,9,15 	1
2,6,7 	187
1,4,6,7,8,17 	1
1,4,6,7,8,16 	70
1,6,7,19 	6
1,6,7,16 	24
2,6,8 	45
2,13,18 	1
2,3,6,8,9,10,15,17,19 	2
2,13,15 	1
2,13,14 	1
3,4,6 	787
3,4,5 	14
3,4,5,6,11,12,15,17,19 	1
1,2,4,6,19 	105
2,3,4,6,8,11 	1
2,4,6,10,12 	1
2,4,6,10,11 	3
4,6,7,8,10 	1
1,2,4,6,16 	313
4,6,7,8,11 	1
2,5,6,13,20 	1
2,3,4,6,8,15 	1
2,4,6,10,16 	1
2,4,6,10,15 	3
5,13,14,20 	1
1,2,4,6,11 	7
4,5,10,11 	1
4,6,7,8,16 	49
1,2,4,6,10 	63
4,6,7,8,17 	1
2,4,6,10,19 	2
3,6,12,14,15,19 	1
1,2,4,5,6,7,11,15,19 	5
3,4,6,8,9,15,19 	2
2,3,4,5,6,11,14,15,17 	1
2,3,4,5,6,14 	1
2,3,4,5,6,11 	5
2,6,7,8,16 	1
4,6,8,9,10,12,15,19 	1
2,3,4,5,6,15 	3
4,6,10,11 	135
2,3,5,8,9,10,12,14,15 	1
4,5,6,10,11,19 	3
6,8,12 	7
6,8,11 	25
1,3,4,19 	1
4,5,6,10,11,15 	9
6,8,16 	45
6,8,15 	24
4,6,10,15 	2
4,6,10,16 	41
1,7,8,10,15,16 	4
5,6,9,15,19 	3
2,3,4,5,6,8,9,11,15,17,19 	2
4,5,6,9,15 	7
6,8,19 	15
6,8,17 	25
1,2,6,8,15,16,19 	1
2,10,14,15 	1
5,7,13,14,18 	1
2,3,4,6,9,12,15 	1
1,6,8,15,17,19 	5
4,6,7,13,15,19 	2
2,5,7,13,20 	2
1,6,16,19 	38
2,3,4,5,6,9,11,12,15,17,19 	2
6,8,15,17 	2
14,18,20 	45
6,8,15,19 	2
1,12,19 	100
2,4,5,8,10,14,15 	1
4,9,11 	2
4,9,15 	9
1,5,15 	9
1,8,15,16 	75
1,5,16 	1
1,8,15,17 	3
2,4,6,7,11,15 	2
4,7,13,14,18,20 	2
3,4,6,19 	2
16,19 	262920
3,4,6,15 	9
1,2,4,5,6,7,15,19 	3
16,17 	30
3,4,6,12 	1
2,16 	1215
3,4,6,11 	30
2,15 	807
2,3,5,6,8,11,12,15,19 	1
2,14 	78
1,8,15,19 	20
2,13 	101
2,4,7,20 	2
2,12 	454
2,11 	234
2,10 	24
1,2,4,6,8,15,16,17 	1
4,6,8,16,19 	122
1,2,4,6,8,15,16,19 	1
4,6,8,16,17 	112
2,5,6,8,9,15,17,19 	1
2,4,5,11,19 	1
2,4,5,11,15 	2
2,4,5,6,8,10,15,19 	1
